TableName,ColumnName,DataType,NotNull,PrimaryKey,Restricted,PII,TableName,ColumnName,DataType,NotNull,PrimaryKey,Restricted,PII
COUNTY,STCODE,nvarchar(16),True,True,False,False,,,,False,False,False,False
COUNTY,CNTYCODE,nvarchar(16),True,True,False,False,,,,False,False,False,False
COUNTY,COUNTYDATA,nvarchar(80),False,False,False,False,,,,False,False,False,False
COUNTY,SRCENV,nvarchar(5),False,False,False,False,,,,False,False,False,False
COUNTY,REC_CUSTOM,nchar(1),False,False,False,False,,,,False,False,False,False
COUNTY,CREATE_DATE,datetime,False,False,False,False,,,,False,False,False,False
COUNTY,MODIFY_DATE,datetime,False,False,False,False,,,,False,False,False,False
CONSREFI,LNUM,nchar(20),True,True,False,False,CONSREFI,LNUM,nchar(20),True,True,False,False
CONSREFI,ORIGCOST,"decimal(18,3)",False,False,False,False,CONSREFI,ORIGCOST,decimal,False,False,False,False
CONSREFI,AMTEXLN,"decimal(18,3)",False,False,False,False,CONSREFI,AMTEXLN,decimal,False,False,False,False
CONSREFI,PRESVAL,"decimal(18,3)",False,False,False,False,CONSREFI,PRESVAL,decimal,False,False,False,False
CONSREFI,CSTIMPRO,"decimal(18,3)",False,False,False,False,CONSREFI,CSTIMPRO,decimal,False,False,False,False
CONSREFI,IMPDESC,nvarchar(80),False,False,False,False,CONSREFI,IMPDESC,nvarchar(80),False,False,False,False
CONSREFI,S_REFPRP,nvarchar(8),False,False,False,False,CONSREFI,S_REFPRP,nvarchar(8),False,False,False,False
CONSREFI,IMPMADE,nchar(1),False,False,False,False,CONSREFI,IMPMADE,nchar(1),False,False,False,False
CONSREFI,LOTACQUR,datetime,False,False,False,False,CONSREFI,LOTACQUR,datetime,False,False,False,False
CONSREFI,REFIIMP,"decimal(18,3)",False,False,False,False,CONSREFI,REFIIMP,decimal,False,False,False,False
CONSREFI,CASHAMT,"decimal(18,3)",False,False,False,False,CONSREFI,CASHAMT,decimal,False,False,False,False
CONSREFI,S_GSE_REFINANCE_PURPOSE,nvarchar(8),False,False,False,False,CONSREFI,S_GSE_REFINANCE_PURPOSE,nvarchar(8),False,False,False,False
CONSREFI,S_CONST_PERM_CLOSING,nvarchar(8),False,False,False,False,CONSREFI,S_CONST_PERM_CLOSING,nvarchar(8),False,False,False,False
CONSREFI,INTERNREFI,nchar(1),False,False,False,False,CONSREFI,INTERNREFI,nchar(1),False,False,False,False
CONSREFI,ORIG_INVESTOR_LOAN_NBR,nvarchar(30),False,False,False,False,CONSREFI,ORIG_INVESTOR_LOAN_NBR,nvarchar(30),False,False,False,False
CONSREFI,S_ORIG_INVESTOR,nvarchar(8),False,False,False,False,CONSREFI,S_ORIG_INVESTOR,nvarchar(8),False,False,False,False
CONSREFI,OTHER_INVESTOR_DESC,nvarchar(50),False,False,False,False,CONSREFI,OTHER_INVESTOR_DESC,nvarchar(50),False,False,False,False
CONSREFI,OTHERGSEREFIPURPTYPEDESC,nvarchar(80),False,False,False,False,CONSREFI,OTHERGSEREFIPURPTYPEDESC,nvarchar(80),False,False,False,False
CONSREFI,REPLACE_EXIST_CONSTR_LOAN,nchar(1),False,False,False,False,CONSREFI,REPLACE_EXIST_CONSTR_LOAN,nchar(1),False,False,False,False
CONSREFI,FIR_MAX_MONTHLY_AMT,int,False,False,False,False,CONSREFI,FIR_MAX_MONTHLY_AMT,int,False,False,False,False
CONSREFI,PREVIOUS_REFI_MONTHS,int,False,False,False,False,CONSREFI,PREVIOUS_REFI_MONTHS,int,False,False,False,False
CONSREFI,CO_REFI_PURCH_CONST,nchar(1),False,False,False,False,CONSREFI,CO_REFI_PURCH_CONST,nchar(1),False,False,False,False
CONSREFI,S_CONST_PERM_FEATURE,nvarchar(8),False,False,False,False,CONSREFI,S_CONST_PERM_FEATURE,nvarchar(8),False,False,False,False
CONSREFI,S_FNM_REFI_PGM,nvarchar(8),False,False,False,False,CONSREFI,S_FNM_REFI_PGM,nvarchar(8),False,False,False,False
CONSREFI,S_FRE_REFI_PGM,nvarchar(8),False,False,False,False,CONSREFI,S_FRE_REFI_PGM,nvarchar(8),False,False,False,False
CONSREFI,LIMIT_DESC,nvarchar(80),False,False,False,False,CONSREFI,LIMIT_DESC,nvarchar(80),False,False,False,False
CONSREFI,REFI_LOAN_ACCT_NBR,nvarchar(20),False,False,False,False,CONSREFI,REFI_LOAN_ACCT_NBR,nvarchar(20),False,False,False,False
CONSLDT2,LNUM,nchar(20),True,True,False,False,,,,False,False,False,False
CONSLDT2,CNSLDCNT,int,True,True,False,False,,,,False,False,False,False
CONSLDT2,DBID,nchar(5),True,True,False,False,,,,False,False,False,False
CONSLDT2,BORNAMS,nvarchar(80),False,False,False,False,,,,False,False,False,False
CONSLDT2,CLOSDAT,datetime,False,False,False,False,,,,False,False,False,False
CONSLDT2,DATEREC,datetime,False,False,False,False,,,,False,False,False,False
CONSLDT2,LENDER,nvarchar(40),False,False,False,False,,,,False,False,False,False
CONSLDT2,ORIGPRIN,"decimal(18,3)",False,False,False,False,,,,False,False,False,False
CONSLDT2,UNPDAMT,"decimal(18,3)",False,False,False,False,,,,False,False,False,False
CONSLDT2,OFFDESC,nvarchar(40),False,False,False,False,,,,False,False,False,False
CONSLDT2,RECRDST,nchar(2),False,False,False,False,,,,False,False,False,False
CONSLDT2,RECRDCTY,nvarchar(35),False,False,False,False,,,,False,False,False,False
CONSLDT2,VOLNUM,nvarchar(20),False,False,False,False,,,,False,False,False,False
CONSLDT2,BOOKNUM,nvarchar(20),False,False,False,False,,,,False,False,False,False
CONSLDT2,PAGENUM,nvarchar(20),False,False,False,False,,,,False,False,False,False
CONSLDT2,RECDCITY,nvarchar(20),False,False,False,False,,,,False,False,False,False
CONSLDT2,RECRDCTV,nchar(1),False,False,False,False,,,,False,False,False,False
CONSLDT2,SEC_NOTE_NAME,nvarchar(80),False,False,False,False,,,,False,False,False,False
CONSLDT2,MORTGAGE_ASSIGNED,nchar(1),False,False,False,False,,,,False,False,False,False
CONSLDT2,ASSIGNEE,nvarchar(80),False,False,False,False,,,,False,False,False,False
CONSLDT2,SEC_NOTE_DATE,datetime,False,False,False,False,,,,False,False,False,False
CONSLDT2,SECINSTNAME,nvarchar(35),False,False,False,False,,,,False,False,False,False
CONSLDT1,LNUM,nchar(20),True,True,False,False,,,,False,False,False,False
CONSLDT1,NUMBCONS,smallint,False,False,False,False,,,,False,False,False,False
CONSLDT1,TOTLADV,"decimal(18,3)",False,False,False,False,,,,False,False,False,False
CONSLDT1,TITLENUM,nvarchar(20),False,False,False,False,,,,False,False,False,False
COMMITQRY,DBCODE,nvarchar(8),True,True,False,False,,,,False,False,False,False
COMMITQRY,DBID,nchar(5),False,False,False,False,,,,False,False,False,False
COMMITQRY,SERIALNO,int,False,False,False,False,,,,False,False,False,False
COMMITQRY,TIER,nchar(1),False,False,False,False,,,,False,False,False,False
DU_MSGS,LNUM,nchar(20),True,True,False,False,,,,False,False,False,False
DU_MSGS,DBID,nchar(5),True,True,False,False,,,,False,False,False,False
DU_MSGS,MSGCTR,int,True,True,False,False,,,,False,False,False,False
DU_MSGS,CATEGORY,nvarchar(5),True,False,False,False,,,,False,False,False,False
DU_MSGS,VARDBID,nvarchar(5),True,False,False,False,,,,False,False,False,False
DU_MSGS,SERIALNO,int,False,False,False,False,,,,False,False,False,False
DU4LOAN,LNUM,nchar(20),True,True,False,False,,,,False,False,False,False
DU4LOAN,STRTMORT,nchar(1),False,False,False,False,,,,False,False,False,False
DU4LOAN,LIENREPY,nchar(1),False,False,False,False,,,,False,False,False,False
DU4LOAN,SLBELMKT,nchar(1),False,False,False,False,,,,False,False,False,False
