TableName,ColumnName,Ordinal,DataType,NotNull,PrimaryKey,Restricted,PII,TableName,ColumnName,Ordinal,DataType,NotNull,PrimaryKey,Restricted,PII,State
,,0,,False,False,False,False,WG_ASSET,RECORD_CREATED,68108,nvarchar(35),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_MARINE_ENG,S_ENGINE_COLOR,68109,nvarchar(8),False,False,False,False,New
,,0,,False,False,False,False,GF_TLBR_BORROWERID,COUNTRY_DBCODE,68110,nvarchar(35),False,False,False,False,New
,,0,,False,False,False,False,GF_TLBR_BORROWERID,COUNTRY_CODE_A2,68111,nvarchar(3),False,False,False,False,New
,,0,,False,False,False,False,GF_TLBR_BORROWERID,BORROWERID_STATE,68112,nvarchar(2),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,PRIOR_TITLE_NUM,68113,nvarchar(64),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,S_TRANSF_AS,68114,nvarchar(8),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,S_TRANSF_TO,68115,nvarchar(8),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,S_DAMAGE_TYPE,68116,nvarchar(8),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,IS_BONAFIDE_GIFT,68117,nchar(1),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,IS_REBUILDABLE,68118,nchar(1),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,IS_ENERGY_EFFICIENT,68119,nchar(1),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,PRIOR_STATE,68120,nvarchar(2),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,S_COLOR,68121,nvarchar(8),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,S_GV_WEIGHT_RATING,68122,nvarchar(8),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,SCALE_WEIGHT,68123,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,PAYOFF_AMT,68124,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,MFG_REBATE,68125,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,DLR_REBATE,68126,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,INVOICE_PRC,68127,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,DLR_OPT_PRICE,68128,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VEHICLE,DLR_OPT_VALUE,68129,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VHCL_AUTO,S_GENERIC_BODY_STYLE,68130,nvarchar(8),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VHCL_MARINE,MOORING_SLIPNO,68131,nvarchar(100),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VHCL_MARINE,MOORING_FACILITY,68132,nvarchar(100),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VHCL_MARINE,MOORING_MRENT,68133,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VHCL_OPTIONS,OPTIONS_PRICING_VALUE,68134,nchar(1),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VHCL_OPTIONS,VHCL_OPTION_PRICE,68135,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VHCL_RV,S_CATEGORY,68136,nvarchar(8),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VHCL_RV,S_MODEL_TYPE,68137,nvarchar(8),False,False,False,False,New
,,0,,False,False,False,False,GF_TLBR_ETHNICITY,RECORD_CREATED,68138,nvarchar(35),False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VHCL_VALUATION,MFG_REBATE,68139,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VHCL_VALUATION,DLR_REBATE,68140,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VHCL_VALUATION,MFG_OPT_PRCNG,68141,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VHCL_VALUATION,DLR_OPT_PRCNG,68142,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VHCL_VALUATION,INVOICE_PRC,68143,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,WG_ASSET_VHCL_VALUATION,TOTL_ADJSTD_VAL_OVRD,68144,"numeric(18,3)",False,False,False,False,New
,,0,,False,False,False,False,GF_TLBR_RACE,RECORD_CREATED,68145,nvarchar(35),False,False,False,False,New
,,0,,False,False,False,False,WG_BULK_IMPORT_DATA,PROP_COUNTY,68146,nvarchar(70),False,False,False,False,New
,,0,,False,False,False,False,GF_TLBR_SUBETHNICITY,RECORD_CREATED,68147,nvarchar(35),False,False,False,False,New
,,0,,False,False,False,False,WG_CNS_LOAN_APPLICATION,S_SECONDARY_COLLATERAL_TYPE,68148,nvarchar(8),False,False,False,False,New
,,0,,False,False,False,False,GF_TLBR_SUBRACE,RECORD_CREATED,68149,nvarchar(35),False,False,False,False,New
,,0,,False,False,False,False,WG_CRM_CUSTOMER,CUSTOMER_ID,68150,nvarchar(50),True,True,False,False,New
,,0,,False,False,False,False,WG_CRM_CUSTOMER,CUSTOMER_TYPE,68151,nvarchar(8),True,True,False,False,New
,,0,,False,False,False,False,WG_CRM_CUSTOMER,CUSTOMER_NAME,68152,nvarchar(250),False,False,False,False,New
,,0,,False,False,False,False,WG_CRM_CUSTOMER,FNAME,68153,nvarchar(30),False,False,False,False,New
,,0,,False,False,False,False,WG_CRM_CUSTOMER,MNAME,68154,nvarchar(30),False,False,False,False,New
,,0,,False,False,False,False,WG_CRM_CUSTOMER,LNAME,68155,nvarchar(30),False,False,False,False,New
,,0,,False,False,False,False,WG_CRM_CUSTOMER,NAME_SUFFIX,68156,nvarchar(5),False,False,False,False,New
,,0,,False,False,False,False,WG_CRM_CUSTOMER,SSNTIN,68157,nvarchar(9),False,False,False,False,New
,,0,,False,False,False,False,WG_CRM_CUSTOMER,DOB,68158,datetime,False,False,False,False,New
,,0,,False,False,False,False,WG_CRM_CUSTOMER,MOTHER_MAIDENNAME,68159,nvarchar(50),False,False,False,False,New
,,0,,False,False,False,False,WG_CRM_CUSTOMER,IS_CURRENT,68160,nchar(1),False,False,False,False,New
