Step,Name,Count
FilterSourceActivity,Input table count,29166
FilterSourceActivity,Input table count(distinct),1994
FilterSourceActivity,Filter table count,183
FilterSourceActivity,Filter table count(distinct),183
FilterSourceActivity,Output count,6007
FilterSourceActivity,Output count(distinct),182
FilterSourceActivity,"Tables count from filter, not in source",1
FilterSourceActivity,Table count,182
FilterSourceActivity,PII count,6007
FilterSourceActivity,Restricted count,6007
ModelActivity,Input table count,182
ModelActivity,Schema count,7
ModelActivity,Table count,182
ModelActivity,Prefix columns count,2
ModelActivity,Suffix columns count,10
ModelActivity,Relationships columns count,1
ModelActivity,LookupRelationships columns count,0
ModelActivity,Schema count,7
ModelActivity,Table count,182
ModelActivity,Prefix columns count,2
ModelActivity,Suffix columns count,10
ModelActivity,Relationships columns count,1
ModelActivity,LookupRelationships columns count,0
